palavra,QE1,QE2,QE3,QE4,QE5,QE6,QE7,QE8,QE9,QE10,QE11,QE12,QE13,QE14,QE15,QE16,QE17,QE18,Total,NOVO
starting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
starts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estimated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estimates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estimating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gave,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
give,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
given,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
gives,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
giving,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
publish,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
published,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
publishes,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
publishing,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
train,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
trained,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
training,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
trains,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
faculties,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
faculty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
application,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0
applications,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0
article,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
articled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
articles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
articling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
search,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
searched,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
searches,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
searching,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
share,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
shared,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
shares,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
sharing,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
store,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
stored,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
stores,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
storing,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
version,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
versions,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
record,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
recorded,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
recording,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
records,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coursed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
courses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
download,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0
downloaded,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0
downloading,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0
downloads,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0
keep,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
keeping,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
keeps,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
kept,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depositor,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1
depositors,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1
check,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
checked,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
